"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","original","men_normal_2676","men_normal_2691","menLCCstage1_270","menLCCstage1_507"
"1",61.0076179504395,61.0076179504395,61.0076179504395,346.0099983,345.2239896,346.796007,2,1,11868.1995322796,13530.4202779195,6705.72528990007,8134.17497879972
"2",61.0076179504395,61.0076179504395,61.0076179504395,349.9409868,349.9409868,349.9409868,1,1,15837.5505740572,15522.6286525714,9123.41172520013,12871.8384544285
"3",68.9936455250571,68.9933547973633,68.9937677624867,638.990022,638.677026,638.994024,3,3,60611.6033696669,54398.8041984703,59675.5972110001,57299.6247461061
"4",68.9933547973633,68.9933547973633,68.9940216783929,645.907974,644.334984,647.166996,3,2,10940.6373999997,13122.7226849995,10974.1281060004,9619.17814200044
"5",68.993688237383,68.9933547973633,68.9937152198199,650.939028,649.365978,652.825014,3,1,15547.2580199996,17912.8328680001,9375.51535199975,9568.55916240043
"6",68.9940296204023,68.9940296204023,68.9940296204023,656.913012,656.913012,656.913012,1,1,18614.2243056004,19314.1231296005,7225.63931466672,7983.13812266673
"7",77.0398519232284,77.0398519232284,77.0398519232284,114.1710018,114.1710018,114.1710018,1,1,45095.90913648,27548.03977137,8122.44177189474,12174.24774864
"8",79.0164808366993,79.0153530308205,79.0176086425781,13.80950016,13.6520004,13.96699992,2,2,19136.32123371,15185.3289610286,25516.9633822875,36222.53773035
"9",79.0176086425781,79.0176086425781,79.0176086425781,703.435992,703.278978,703.593006,2,2,9240.7321360005,13737.3195085716,15358.841322,24340.4343540004
"10",79.0176086425781,79.0176086425781,79.0176086425781,696.049002,694.789008,697.619016,3,2,9303.51692760042,9699.31403999983,13096.4819579996,19569.2809525709
"11",79.0176086425781,79.0176086425781,79.0176086425781,683.083992,683.083992,683.083992,1,1,11888.1542391432,10488.0604059996,14963.6906580002,18681.9691680005
"12",79.0176086425781,79.0176086425781,79.0176086425781,671.764014,671.764014,671.764014,1,1,10685.4108075,11701.5084825001,16413.2957407489,19764.4614266668
"13",79.0176086425781,79.0176086425781,79.0176086425781,675.22299,675.22299,675.22299,1,1,9007.70850600024,8122.61700599978,11810.8856376005,14996.9131980004
"14",79.0176086425781,79.0176086425781,79.0176086425781,49.88300088,49.88300088,49.88300088,1,1,12943.13353671,14221.04901723,20193.2249251029,24947.37697914
"15",79.0183323747895,79.0179504563173,79.0186572274728,719.000016,717.11397,719.00202,5,3,8357.12272799993,0,21146.3152020011,15340.720188294
"16",79.0183381913643,79.0179448977273,79.0183614975229,715.227012,714.59799,715.229016,3,3,13733.2093602854,10694.4384540005,13807.0340940006,12625.1876399995
"17",79.0166271641029,79.015427757501,79.0180481948663,16.95350019,15.53900064,17.11299954,4,4,42088.3753884546,22881.4762501662,31192.2976214077,40404.69496206
"18",79.0183087855562,79.0176086425781,79.0183710775912,713.026026,712.399008,713.026026,3,3,12346.1297679993,10077.2641871997,17896.531592571,17708.7145759997
"19",79.0178221932921,79.0176086425781,79.0183357251046,74.7970032,72.909,75.739002,5,3,16580.4459219429,18010.57096275,41585.9933132571,28318.8965286001
"20",79.0179579461453,79.0176086425781,79.0184023674237,709.253025,708.626004,710.511018,4,3,13230.7196314283,10020.0427320005,11440.3921875002,17962.7021040007
"21",79.0176086425781,79.0176086425781,79.0183437590726,120.145998,120.1449966,120.1469994,3,3,8037.8848363422,11182.1402034,11382.7406940001,12341.21692608
"22",79.0176086425781,79.0176086425781,79.0186333441118,100.8074997,99.393003,101.280999,4,3,20186.79545325,12481.6514159999,34255.13106276,27495.8327872285
"23",79.0176086425781,79.0176086425781,79.0186885985985,105.2110002,103.1659986,108.1990026,6,3,28290.6552000001,39886.0458055201,45165.1850617844,22178.9828083202
"24",79.0177843384458,79.0174525624974,79.0187386186275,111.6565026,110.0830008,112.5989988,4,3,26633.8166018823,31481.78315744,50036.268986,34951.7735731999
"25",79.0176086425781,79.0172696419555,79.0179989155652,117.63,116.6880012,117.9449988,3,3,15035.27123184,19831.5315505999,24066.05780724,28970.1135901092
"26",79.0183300572041,79.0176086425781,79.0186883304147,71.0219982,70.0789974,71.6529966,3,3,20994.7560261818,20970.475998,21214.1735749716,21982.6344588002
"27",79.0176086425781,79.016133580472,79.0183401983941,3.276000024,2.648999916,3.904999944,3,3,21629.146637859,15700.5155133555,19003.147960128,35982.9255018175
"28",79.0176086425781,79.0176086425781,79.0179488574991,78.883002,77.625003,79.1990016,3,3,13694.9314508571,15702.242721257,24724.617200025,26117.9997925712
"29",79.0176086425781,79.0176086425781,79.0183553945101,82.5,81.0859968,84.2280006,4,2,12433.29087312,12184.5999036,20845.9778516571,21947.3866548
"30",79.0176086425781,79.0176086425781,79.0180080472245,88.9470006,88.3160016,90.2020026,3,2,11820.507507,12799.9703814,27888.2210216728,15207.3209115
"31",79.017975809736,79.0176086425781,79.0183550455983,66.9370008,66.6199992,68.5089972,3,2,9603.24528600004,9460.14796800004,13193.8872191999,21756.4187397999
"32",79.0176086425781,79.0176086425781,79.0183693955823,94.6759986,93.1049964,94.9930002,3,3,25052.738592,20532.4741708801,58296.5443998,28115.85623115
"33",79.0179612038299,79.0176086425781,79.0183137650816,86.1160002,86.1150024,86.116998,2,2,12681.470724,13357.2877490001,18131.8915612,28004.63023875
"34",79.0177767225001,79.0176086425781,79.017944802422,97.506498,97.1919966,97.8209994,2,2,16624.1469575999,22166.4576,22707.7087464001,21867.5273124
"35",79.0181606373619,79.0179862390301,79.0183350356938,47.2119999,47.05399992,47.36999988,2,2,16775.438559006,18283.615157532,40737.905190936,22365.01891842
